position,value
0,4.218503795
0.15,4.864140806
0.3,4.202677596
0.45,5.500990242
0.6,4.710242535
0.75,5.077433635
0.9,5.294394385
1.05,4.175844792
1.2,4.234327005
1.35,4.855586201
1.5,4.314664643
1.65,4.801189938
1.8,6.222124294
1.95,4.630490449
2.1,5.059959973
2.25,4.758337782
2.4,5.089833841
2.55,5.249835746
2.7,4.992364519
2.85,4.498535525
3,4.048055653
3.15,5.089035401
3.3,4.412566391
3.45,5.575624267
3.6,5.754256768
3.75,4.879443891
3.9,4.12694285
4.05,4.324990982
4.2,5.41733757
4.35,5.382721093
4.5,3.817023625
4.65,4.587809597
4.8,4.510489599
4.95,3.00598827
5.1,4.523356988
5.25,5.098818047
5.4,4.67499284
5.55,4.661601615
5.7,4.715749307
5.85,4.536254715
6,4.732024235
6.15,5.743735293
6.3,4.528740948
6.45,4.506905559
6.6,3.729928486
6.75,3.813560021
6.9,4.904725196
7.05,5.39060824
7.2,4.421570669
7.35,4.730069963
7.5,4.103986844
7.65,4.25702679
7.8,3.777113722
7.95,4.414172106
8.1,4.53447811
8.25,5.020261883
8.4,5.07452026
8.55,6.040552099
8.7,5.836366092
8.85,5.40025638
9,4.900731643
9.15,5.266277489
9.3,5.32046175
9.45,4.438314077
9.6,4.303025298
9.75,3.79064553
9.9,4.633463118
10.05,4.517808775
10.2,5.461706228
10.35,4.771022828
10.5,5.094451939
10.65,4.17693738
10.8,4.784870192
10.95,5.252237599
11.1,4.263346218
11.25,3.589471632
11.4,5.473821665
11.55,3.873591373
11.7,3.238978982
11.85,3.899024649
12,4.424728951
12.15,4.55634036
12.3,5.359033989
12.45,5.276597417
12.6,4.599680456
12.75,4.763411507
12.9,2.905731297
13.05,4.526755921
13.2,4.43315946
13.35,4.248911968
13.5,4.982194912
13.65,5.128464196
13.8,4.679003121
13.95,5.21272505
14.1,5.630293925
14.25,5.852043782
14.4,5.43487212
14.55,5.747672918
14.7,4.547108575
14.85,4.011003681
15,5.190911149
15.15,5.113548599
15.3,3.67824087
15.45,5.440342831
15.6,4.535203624
