postion,age
0,0
0.135706829,0.003
0.272120313,0.006
0.409240104,0.009
0.547065677,0.012
0.685596336,0.015
0.824831211,0.018
0.964769255,0.021
1.10540925,0.024
1.246749805,0.027
1.388789356,0.03
1.531526166,0.033
1.674958325,0.036
1.819083753,0.039
1.963900199,0.042
2.109405241,0.045
2.255596285,0.048
2.402470573,0.051
2.550025173,0.054
2.698256987,0.057
2.847162752,0.06
2.996739036,0.063
3.146982242,0.066
3.29788861,0.069
3.449454215,0.072
3.601674969,0.075
3.754546625,0.078
3.908064771,0.081
4.062224839,0.084
4.217022101,0.087
4.372451674,0.09
4.528508516,0.093
4.685187431,0.096
4.842483071,0.099
5.000389935,0.102
5.15890237,0.105
5.318014576,0.108
5.477720603,0.111
5.638014355,0.114
5.798889591,0.117
5.960339927,0.12
6.122358837,0.123
6.284939655,0.126
6.448075574,0.129
6.611759654,0.132
6.775984816,0.135
6.94074385,0.138
7.106029413,0.141
7.271834033,0.144
7.438150109,0.147
7.604969914,0.15
7.772285597,0.153
7.940089186,0.156
8.108372585,0.159
8.277127583,0.162
8.446345851,0.165
8.616018947,0.168
8.786138316,0.171
8.956695291,0.174
9.127681101,0.177
9.299086866,0.18
9.470903603,0.183
9.643122229,0.186
9.81573356,0.189
9.988728317,0.192
10.16209712,0.195
10.33583052,0.198
10.50991893,0.201
10.68435273,0.204
10.85912219,0.207
11.03421748,0.21
11.20962872,0.213
11.38534594,0.216
11.56135909,0.219
11.73765804,0.222
11.91423262,0.225
12.09107257,0.228
12.26816755,0.231
12.44550718,0.234
12.62308102,0.237
12.80087857,0.24
12.97888925,0.243
13.15710247,0.246
13.33550755,0.249
13.51409379,0.252
13.69285044,0.255
13.87176669,0.258
14.05083172,0.261
14.23003465,0.264
14.40936457,0.267
14.58881054,0.27
14.76836161,0.273
14.94800677,0.276
15.12773501,0.279
15.3075353,0.282
15.48739658,0.285
15.66730778,0.288
15.84725783,0.291
16.02723562,0.294
16.20723007,0.297
16.38723007,0.3
16.56722452,0.303
16.74720231,0.306
16.92715236,0.309
17.10706356,0.312
17.28692484,0.315
17.46672513,0.318
17.64645337,0.321
17.82609853,0.324
18.0056496,0.327
18.18509557,0.33
18.36442549,0.333
18.54362842,0.336
18.72269345,0.339
18.9016097,0.342
19.08036635,0.345
19.25895259,0.348
19.43735767,0.351
19.61557089,0.354
19.79358158,0.357
19.97137912,0.36
20.14895296,0.363
20.32629259,0.366
20.50338758,0.369
20.68022752,0.372
20.8568021,0.375
21.03310105,0.378
21.2091142,0.381
21.38483142,0.384
21.56024266,0.387
21.73533795,0.39
21.91010741,0.393
22.08454121,0.396
22.25862963,0.399
22.43236302,0.402
22.60573182,0.405
22.77872658,0.408
22.95133791,0.411
23.12355654,0.414
23.29537328,0.417
23.46677904,0.42
23.63776485,0.423
23.80832183,0.426
23.97844119,0.429
24.14811429,0.432
24.31733256,0.435
24.48608756,0.438
24.65437096,0.441
24.82217454,0.444
24.98949023,0.447
25.15631003,0.45
25.32262611,0.453
25.48843073,0.456
25.65371629,0.459
25.81847532,0.462
25.98270049,0.465
26.14638457,0.468
26.30952049,0.471
26.4721013,0.474
26.63412021,0.477
26.79557055,0.48
26.95644579,0.483
27.11673954,0.486
27.27644557,0.489
27.43555777,0.492
27.59407021,0.495
27.75197707,0.498
27.90927271,0.501
28.06595163,0.504
28.22200847,0.507
28.37743804,0.51
28.5322353,0.513
28.68639537,0.516
28.83991352,0.519
28.99278517,0.522
29.14500593,0.525
29.29657153,0.528
29.4474779,0.531
29.59772111,0.534
29.74729739,0.537
29.89620315,0.54
30.04443497,0.543
30.19198957,0.546
30.33886386,0.549
30.4850549,0.552
30.63055994,0.555
30.77537639,0.558
30.91950182,0.561
31.06293398,0.564
31.20567078,0.567
31.34771034,0.57
31.48905089,0.573
31.62969089,0.576
31.76962893,0.579
31.9088638,0.582
32.04739446,0.585
32.18522004,0.588
32.32233983,0.591
32.45875331,0.594
32.59446014,0.597
32.72946014,0.6
32.86375331,0.603
32.99733983,0.606
33.13022004,0.609
33.26239446,0.612
33.3938638,0.615
33.52462893,0.618
33.65469089,0.621
33.78405089,0.624
33.91271034,0.627
34.04067078,0.63
34.16793398,0.633
34.29450182,0.636
34.42037639,0.639
34.54555994,0.642
34.6700549,0.645
34.79386386,0.648
34.91698957,0.651
35.03943497,0.654
35.16120315,0.657
35.28229739,0.66
35.40272111,0.663
35.5224779,0.666
35.64157153,0.669
35.76000593,0.672
35.87778517,0.675
35.99491352,0.678
36.11139537,0.681
36.2272353,0.684
36.34243804,0.687
36.45700847,0.69
36.57095163,0.693
36.68427271,0.696
36.79697707,0.699
36.90907021,0.702
37.02055777,0.705
37.13144557,0.708
37.24173954,0.711
37.35144579,0.714
37.46057055,0.717
37.56912021,0.72
37.6771013,0.723
37.78452049,0.726
37.89138457,0.729
37.99770049,0.732
38.10347532,0.735
38.20871629,0.738
38.31343073,0.741
38.41762611,0.744
38.52131003,0.747
38.62449023,0.75
38.72717454,0.753
38.82937096,0.756
38.93108756,0.759
39.03233256,0.762
39.13311429,0.765
39.23344119,0.768
39.33332183,0.771
39.43276485,0.774
39.53177904,0.777
39.63037328,0.78
39.72855654,0.783
39.82633791,0.786
39.92372658,0.789
40.02073182,0.792
40.11736302,0.795
40.21362963,0.798
40.30954121,0.801
40.40510741,0.804
40.50033795,0.807
40.59524266,0.81
40.68983142,0.813
40.7841142,0.816
40.87810105,0.819
40.9718021,0.822
41.06522752,0.825
41.15838758,0.828
41.25129259,0.831
41.34395296,0.834
41.43637912,0.837
41.52858158,0.84
41.62057089,0.843
41.71235767,0.846
41.80395259,0.849
41.89536635,0.852
41.9866097,0.855
42.07769345,0.858
42.16862842,0.861
42.25942549,0.864
42.35009557,0.867
42.4406496,0.87
42.53109853,0.873
42.62145337,0.876
42.71172513,0.879
42.80192484,0.882
42.89206356,0.885
42.98215236,0.888
43.07220231,0.891
43.16222452,0.894
43.25223007,0.897
43.34223007,0.9
43.43223562,0.903
43.52225783,0.906
43.61230778,0.909
43.70239658,0.912
43.7925353,0.915
43.88273501,0.918
43.97300677,0.921
44.06336161,0.924
44.15381054,0.927
44.24436457,0.93
44.33503465,0.933
44.42583172,0.936
44.51676669,0.939
44.60785044,0.942
44.69909379,0.945
44.79050755,0.948
44.88210247,0.951
44.97388925,0.954
45.06587857,0.957
45.15808102,0.96
45.25050718,0.963
45.34316755,0.966
45.43607257,0.969
45.52923262,0.972
45.62265804,0.975
45.71635909,0.978
45.81034594,0.981
45.90462872,0.984
45.99921748,0.987
46.09412219,0.99
46.18935273,0.993
46.28491893,0.996
46.38083052,0.999
46.47709712,1.002
46.57372832,1.005
46.67073356,1.008
46.76812223,1.011
46.8659036,1.014
46.96408687,1.017
47.0626811,1.02
47.16169529,1.023
47.26113832,1.026
47.36101895,1.029
47.46134585,1.032
47.56212758,1.035
47.66337258,1.038
47.76508919,1.041
47.8672856,1.044
47.96996991,1.047
48.07315011,1.05
48.17683403,1.053
48.28102941,1.056
48.38574385,1.059
48.49098482,1.062
48.59675965,1.065
48.70307557,1.068
48.80993965,1.071
48.91735884,1.074
49.02533993,1.077
49.13388959,1.08
49.24301435,1.083
49.3527206,1.086
49.46301458,1.089
49.57390237,1.092
49.68538993,1.095
49.79748307,1.098
49.91018743,1.101
50.02350852,1.104
50.13745167,1.107
50.2520221,1.11
50.36722484,1.113
50.48306477,1.116
50.59954662,1.119
50.71667497,1.122
50.83445421,1.125
