position,value
0,0.492060942
1,0.537090254
2,0.863561177
3,1.004580969
4,1.025070245
5,0.940026038
6,0.405540767
7,0.132422547
8,-0.607519706
9,-1.051567178
10,-1.47140881
11,-1.433494184
12,-1.105038247
13,-0.590302003
14,-0.587120968
15,-0.119155528
16,0.122865893
17,0.086293255
18,0.074502333
19,0.216844161
20,0.747853112
21,1.093839223
22,1.736718156
23,1.857246069
24,1.785713117
25,2.112286294
26,2.350408579
27,2.283697276
28,1.830270233
29,1.675071852
30,1.569823564
31,1.552512528
32,1.368700208
33,1.064946826
34,1.274599529
35,1.217738432
36,0.815142997
37,0.478377033
38,0.084384162
39,-0.132044892
40,-0.75039568
41,-0.922075655
42,-0.729558338
43,-1.001618954
44,-1.371194189
45,-1.154430503
46,-0.884231463
47,-1.172209877
48,-0.966346525
49,-0.912640187
50,-0.761334474
51,-0.956049391
52,-1.029877447
53,-0.763387906
54,-0.46844944
55,-0.805813227
56,-0.763746496
57,-0.180988656
58,-0.216162505
59,0.090697643
60,0.382148483
61,0.043370271
62,0.354518329
63,-0.112528061
64,0.868840755
65,1.224082017
66,2.007518524
67,1.95209372
68,2.050259404
69,2.23689677
70,2.423331754
71,2.150613674
72,2.634499975
73,3.053149245
74,2.820778293
75,3.243155214
76,2.970213945
77,2.523208266
78,2.542287683
79,1.995716954
80,1.362790032
81,0.979319753
82,0.336200326
83,-0.044813612
84,-0.563681109
85,-1.471331938
86,-1.773061982
87,-1.773585946
88,-1.4422862
89,-1.030789238
90,-0.356392093
91,-0.747862611
92,-0.41702609
93,-0.124736892
94,-0.004697601
95,0.468269058
96,0.66286602
97,0.575606513
98,0.532597038
99,0.775229859
100,0.911824234
101,1.15338278
102,0.751108501
103,0.784475671
104,0.42592491
105,0.617897631
106,0.009812508
107,-0.022428889
108,-0.379575755
109,-0.547592995
110,-0.675967773
111,-0.370496067
112,0.157929173
113,0.215719771
114,0.133902724
115,0.942960885
116,1.143110501
117,0.978578661
118,1.041480384
119,1.087915187
120,1.654670174
121,1.97918193
122,2.188841288
123,2.033391992
124,1.568970253
125,1.351197081
126,1.494052761
127,0.6522733
128,0.366534133
129,-0.49967781
130,-0.964751347
131,-0.82337684
132,-1.137893511
133,-1.038329425
134,-1.212727464
135,-1.430253634
136,-1.939513667
137,-2.050102353
138,-1.673169944
139,-1.709806629
140,-1.542439325
141,-1.437953351
142,-1.395720929
143,-0.710048043
144,-0.814856811
145,-0.603449302
146,-0.17287556
147,-0.234562111
148,0.277083677
149,0.076996195
150,0.500519492
151,0.299344359
152,0.293131351
153,0.497371362
154,0.03464564
155,-0.154034266
156,-0.253877761
157,-0.317247707
158,-0.333707839
159,-0.281169836
160,-0.075522748
161,-0.378200858
162,-0.663594817
163,-1.042020722
164,-0.862031858
165,-0.580117932
166,-0.684522312
167,-0.790223108
168,-0.370371945
169,-0.035043919
170,0.106586837
171,0.040685836
172,-0.230600662
173,-0.286968894
174,-0.445771701
175,-0.150577503
176,0.193577446
177,0.349257425
178,0.281459104
179,-0.123878802
180,-0.484300292
181,-0.723248981
182,-1.289042783
183,-1.243371342
184,-1.867067754
185,-2.246197708
186,-2.090550548
187,-1.903789987
188,-1.695145231
189,-1.196848531
190,-0.878719957
191,-0.2805276
192,-0.056447893
193,0.012138169
194,0.97628022
195,1.628790542
196,1.582063105
197,1.826160242
198,1.579185573
199,1.712042502
