position,value
0,-0.023719352
0.05,0.72878981
0.1,0.170918026
0.15,-0.159052276
0.2,-0.522861058
0.25,-1.972973532
0.3,-3.38158645
0.35,-2.791131834
0.4,-0.6535912
0.45,1.163183297
0.5,1.394271143
0.55,-0.022343803
0.6,-1.799069006
0.65,-2.199141586
0.7,-1.348937419
0.75,-0.998727592
0.8,-1.20210993
0.85,-0.015323139
0.9,2.672332085
0.95,3.8082935
1,1.391193373
1.05,-1.645333807
1.1,-1.161905374
1.15,1.252772337
1.2,1.401633594
1.25,0.407946995
1.3,1.262476457
1.35,2.724273031
1.4,1.757888397
1.45,-1.232959011
1.5,-2.951422775
1.55,-1.671926669
1.6,1.043885201
1.65,2.499220713
1.7,1.51545134
1.75,-0.115142218
1.8,0.136548889
1.85,1.425147176
1.9,0.596854223
1.95,-1.589374319
2,-0.726073283
2.05,3.362242478
2.1,5.563171053
2.15,3.297134421
2.2,0.094335933
2.25,-0.065222813
2.3,1.0264055
2.35,-0.131263834
2.4,-1.317551927
2.45,0.482725107
2.5,2.903618603
2.55,2.672049438
2.6,0.175974351
2.65,-2.129829268
2.7,-2.681511469
2.75,-1.413708292
2.8,0.172595369
2.85,0.305657097
2.9,-0.171270058
2.95,0.869427762
3,2.412475473
3.05,1.383790443
3.1,-1.629006386
3.15,-2.249252444
3.2,0.459301158
3.25,2.363263862
3.3,1.522205141
3.35,0.358750903
3.4,0.443527851
3.45,-0.099908497
3.5,-2.291975364
3.55,-3.294572738
3.6,-1.745707064
3.65,-0.26660276
3.7,-0.178227164
3.75,-0.283490904
3.8,-0.567429935
3.85,-1.97062936
3.9,-3.102017503
3.95,-2.462911911
4,-1.565389701
4.05,-1.384286435
4.1,-0.537620512
4.15,0.852528808
4.2,0.699380751
4.25,-1.238750757
4.3,-2.804654983
4.35,-3.067431698
4.4,-2.880879148
4.45,-2.090847262
4.5,-0.312656647
4.55,0.852253696
4.6,-0.119969236
4.65,-1.561945909
4.7,-1.018497205
4.75,0.11465845
4.8,-0.559920127
4.85,-1.009599785
4.9,1.066162133
4.95,2.916348178
5,1.430918255
5.05,-1.139835371
5.1,-1.477052764
5.15,-0.721722184
5.2,-1.06146626
5.25,-1.48427661
5.3,-0.815584449
5.35,0.113218734
5.4,0.564755764
5.45,0.290302781
5.5,-1.153393705
5.55,-2.859150359
5.6,-2.334925625
5.65,0.499827463
5.7,2.257796056
5.75,1.367393021
5.8,0.493601124
5.85,1.903832438
5.9,3.408332484
5.95,1.696989802
6,-1.401194962
6.05,-1.25492304
6.1,1.68565714
6.15,2.812961689
6.2,1.144325851
6.25,-0.134937483
6.3,0.256931979
6.35,0.358570046
6.4,-0.859764566
6.45,-2.062657061
6.5,-2.23472292
6.55,-1.534199781
6.6,-0.112333599
6.65,1.322177575
6.7,1.145966222
6.75,-0.6695569
6.8,-1.580468349
6.85,-0.130196483
6.9,1.440595875
6.95,0.78329443
7,-0.515414532
7.05,0.356062082
7.1,2.646284571
