position,age
0,0
0.01,0.001
0.02,0.002
0.03,0.003
0.04,0.004
0.05,0.005
0.06,0.006
0.07,0.007
0.08,0.008
0.09,0.009
0.1,0.01
0.11,0.011
0.12,0.012
0.13,0.013
0.14,0.014
0.15,0.015
0.16,0.016
0.17,0.017
0.18,0.018
0.19,0.019
0.2,0.02
0.21,0.021
0.22,0.022
0.23,0.023
0.24,0.024
0.25,0.025
0.26,0.026
0.27,0.027
0.28,0.028
0.29,0.029
0.3,0.03
0.31,0.031
0.32,0.032
0.33,0.033
0.34,0.034
0.35,0.035
0.36,0.036
0.37,0.037
0.38,0.038
0.39,0.039
0.4,0.04
0.41,0.041
0.42,0.042
0.43,0.043
0.44,0.044
0.45,0.045
0.46,0.046
0.47,0.047
0.48,0.048
0.49,0.049
0.5,0.05
0.51,0.051
0.52,0.052
0.53,0.053
0.54,0.054
0.55,0.055
0.56,0.056
0.57,0.057
0.58,0.058
0.59,0.059
0.6,0.06
0.61,0.061
0.62,0.062
0.63,0.063
0.64,0.064
0.65,0.065
0.66,0.066
0.67,0.067
0.68,0.068
0.69,0.069
0.7,0.07
0.71,0.071
0.72,0.072
0.73,0.073
0.74,0.074
0.75,0.075
0.76,0.076
0.77,0.077
0.78,0.078
0.79,0.079
0.8,0.08
0.81,0.081
0.82,0.082
0.83,0.083
0.84,0.084
0.85,0.085
0.86,0.086
0.87,0.087
0.88,0.088
0.89,0.089
0.9,0.09
0.91,0.091
0.92,0.092
0.93,0.093
0.94,0.094
0.95,0.095
0.96,0.096
0.97,0.097
0.98,0.098
0.99,0.099
1,0.1
1.01,0.101
1.02,0.102
1.03,0.103
1.04,0.104
1.05,0.105
1.06,0.106
1.07,0.107
1.08,0.108
1.09,0.109
1.1,0.11
1.11,0.111
1.12,0.112
1.13,0.113
1.14,0.114
1.15,0.115
1.16,0.116
1.17,0.117
1.18,0.118
1.19,0.119
1.2,0.12
1.21,0.121
1.22,0.122
1.23,0.123
1.24,0.124
1.25,0.125
1.26,0.126
1.27,0.127
1.28,0.128
1.29,0.129
1.3,0.13
1.31,0.131
1.32,0.132
1.33,0.133
1.34,0.134
1.35,0.135
1.36,0.136
1.37,0.137
1.38,0.138
1.39,0.139
1.4,0.14
1.41,0.141
1.42,0.142
1.43,0.143
1.44,0.144
1.45,0.145
1.46,0.146
1.47,0.147
1.48,0.148
1.49,0.149
1.5,0.15
1.51,0.151
1.52,0.152
1.53,0.153
1.54,0.154
1.55,0.155
1.56,0.156
1.57,0.157
1.58,0.158
1.59,0.159
1.6,0.16
1.61,0.161
1.62,0.162
1.63,0.163
1.64,0.164
1.65,0.165
1.66,0.166
1.67,0.167
1.68,0.168
1.69,0.169
1.7,0.17
1.71,0.171
1.72,0.172
1.73,0.173
1.74,0.174
1.75,0.175
1.76,0.176
1.77,0.177
1.78,0.178
1.79,0.179
1.8,0.18
1.81,0.181
1.82,0.182
1.83,0.183
1.84,0.184
1.85,0.185
1.86,0.186
1.87,0.187
1.88,0.188
1.89,0.189
1.9,0.19
1.91,0.191
1.92,0.192
1.93,0.193
1.94,0.194
1.95,0.195
1.96,0.196
1.97,0.197
1.98,0.198
1.99,0.199
2,0.2
