position,value
0,0.131639491
0.05,0.897134227
0.1,0.573740842
0.15,0.087315777
0.2,-0.052111689
0.25,-0.376761437
0.3,-1.483497191
0.35,-2.887104205
0.4,-3.348199441
0.45,-2.339544665
0.5,-0.524416378
0.55,1.058438922
0.6,1.702983412
0.65,1.143649739
0.7,-0.289355947
0.75,-1.704953932
0.8,-2.161792176
0.85,-1.595916161
0.9,-0.92475137
0.95,-0.918737726
1,-1.102441473
1.05,-0.324712339
1.1,1.727526143
1.15,3.73058622
1.2,3.817266782
1.25,1.548081248
1.3,-1.15769024
1.35,-1.754279521
1.4,0.014497494
1.45,1.72600164
1.5,1.578831021
1.55,0.626185087
1.6,0.779286596
1.65,2.130765322
1.7,2.975782809
1.75,1.953881171
1.8,-0.495907627
1.85,-2.528477553
1.9,-2.698773441
1.95,-1.038627248
2,1.217763337
2.05,2.609698582
2.1,2.327806288
2.15,0.89427433
2.2,-0.158944825
2.25,0.264020943
2.3,1.437506823
2.35,1.475134978
2.4,-0.221519524
2.45,-1.703370231
2.5,-0.63848667
2.55,2.693054106
2.6,5.485502054
2.65,5.35427125
2.7,2.709797269
2.75,0.181775206
2.8,-0.169814137
2.85,0.925195529
2.9,1.051419745
2.95,-0.390129997
3,-1.233994163
3.05,0.038652987
3.1,2.302542854
3.15,3.404608867
3.2,2.475162198
3.25,0.317331177
3.3,-1.684556513
3.35,-2.628670311
3.4,-2.242632233
3.45,-0.903843156
3.5,0.339603325
3.55,0.549763894
3.6,0.040385979
3.65,0.129544847
3.7,1.391278472
3.75,2.614260634
3.8,2.045673995
3.85,-0.321645247
3.9,-2.303080549
3.95,-1.79074465
4,0.620688611
4.05,2.430207585
4.1,2.26067025
4.15,1.05530791
4.2,0.409962413
4.25,0.586682071
4.3,0.332605752
4.35,-1.214689417
4.4,-2.939644048
4.45,-3.060742335
4.5,-1.632759089
4.55,-0.301179224
4.6,0.03080761
4.65,-0.131628641
4.7,-0.149762326
4.75,-0.429153059
4.8,-1.521506819
4.85,-2.753828043
4.9,-2.940547708
4.95,-2.111654688
5,-1.434179062
5.05,-1.308503116
5.1,-0.914524693
5.15,0.19532783
5.2,1.172284165
5.25,0.860072673
5.3,-0.676013232
5.35,-2.250566285
5.4,-2.934873149
5.45,-2.939920213
5.5,-2.78052958
5.55,-2.240203238
5.6,-0.960882463
5.65,0.515594395
5.7,0.98900768
5.75,0.012977992
5.8,-1.294833144
5.85,-1.378022774
5.9,-0.286477774
5.95,0.288254601
6,-0.431591315
6.05,-1.025829548
6.1,0.120954605
6.15,2.282093361
6.2,3.105437869
6.25,1.598645649
6.3,-0.650918598
6.35,-1.550508402
6.4,-0.994388352
6.45,-0.526578511
6.5,-0.93754878
6.55,-1.378839151
6.6,-1.049891128
6.65,-0.237015003
6.7,0.428967117
6.75,0.733798276
6.8,0.535470095
6.85,-0.474134965
6.9,-2.093456949
6.95,-2.973544338
7,-1.838463131
7.05,0.672797281
7.1,2.370917982
7.15,2.044329027
7.2,0.818942711
7.25,0.799906809
7.3,2.399264596
7.35,3.642728059
7.4,2.457485121
7.45,-0.408924185
7.5,-1.844088444
7.55,-0.249809908
7.6,2.345618252
7.65,3.021731193
7.7,1.576143734
7.75,0.126330705
7.8,0.080322437
7.85,0.614127319
7.9,0.30833235
7.95,-0.900432967
8,-1.937124589
8.05,-2.184599757
8.1,-1.740621946
8.15,-0.714750162
8.2,0.724297702
8.25,1.680712307
8.3,1.135637164
8.35,-0.565356429
8.4,-1.536444815
8.45,-0.542208196
8.5,1.225973672
8.55,1.595657416
8.6,0.345212036
8.65,-0.469145197
8.7,0.708535854
8.75,2.825248551
8.8,3.417813535
8.85,1.583419227
8.9,-0.950282373
8.95,-1.843945305
9,-0.966420376
9.05,-0.237426043
9.1,-0.724596171
9.15,-1.291709813
9.2,-0.772051345
9.25,0.167604227
9.3,0.165987152
9.35,-0.785673348
9.4,-1.41338998
9.45,-1.316299256
9.5,-1.422903176
9.55,-2.190190855
9.6,-2.554089828
9.65,-1.494842909
9.7,0.097253849
9.75,0.595491682
9.8,-0.056750004
9.85,-0.494093372
9.9,-0.087953929
9.95,0.189677916
10,-0.680284784
10.05,-2.095950001
10.1,-2.494092033
10.15,-1.603905979
10.2,-0.716973399
10.25,-0.72322376
10.3,-0.970298726
10.35,-0.480371285
10.4,0.38779715
10.45,0.297182541
10.5,-1.026389011
10.55,-1.871815207
10.6,-0.709096966
10.65,1.428167093
10.7,2.105969034
10.75,0.857107643
10.8,-0.148609771
10.85,0.826660888
10.9,2.603726481
10.95,2.585182364
11,0.306717896
11.05,-1.933971005
11.1,-2.102672689
11.15,-0.864149682
11.2,-0.04618359
11.25,-0.100676185
11.3,-0.268557931
11.35,-0.268458148
11.4,-0.435968293
11.45,-0.769701338
11.5,-0.700644633
11.55,-0.240178856
11.6,-0.387087603
11.65,-1.448342353
11.7,-1.849661903
11.75,-0.064891203
11.8,2.976373667
11.85,4.536521655
11.9,3.23935728
11.95,0.939718344
12,0.618430971
12.05,2.67760677
12.1,4.220869547
12.15,2.734591146
12.2,-0.328405867
12.25,-1.118489803
12.3,1.404345239
12.35,4.197518603
12.4,4.225330612
12.45,1.855707435
12.5,-0.351544729
12.55,-0.969273981
12.6,-0.77188503
12.65,-0.873695152
12.7,-1.088776675
12.75,-0.916472924
12.8,-0.644167563
12.85,-0.465204151
12.9,0.296985549
12.95,1.847560252
13,2.76068916
13.05,1.510680486
13.1,-0.910661728
13.15,-1.491863992
13.2,0.942464232
13.25,3.753269873
13.3,3.847173504
13.35,1.84610072
13.4,1.052376214
13.45,2.865390617
13.5,4.806931675
13.55,3.718763314
13.6,-0.023110647
13.65,-2.542051296
13.7,-1.475587818
13.75,0.968028404
13.8,1.696126181
13.85,0.869870475
13.9,0.287433961
13.95,0.170534993
14,-0.700317909
14.05,-2.233735766
14.1,-2.406413155
14.15,-1.73321639
14.2,-1.505503272
14.25,-1.806720789
14.3,-0.898808315
14.35,1.536646047
14.4,3.148072779
14.45,2.086517911
14.5,-0.064073204
14.55,-0.513006197
14.6,0.68803115
14.65,0.86211819
14.7,-0.666222562
14.75,-1.346644129
14.8,0.383720951
14.85,2.32574872
14.9,1.874783893
14.95,-0.442118639
15,-1.919242293
15.05,-1.757050776
15.1,-1.680979049
15.15,-2.120682204
15.2,-1.159773555
15.25,1.369036942
15.3,2.693168147
15.35,1.32773496
15.4,-0.280465114
15.45,0.250210531
15.5,1.248279609
15.55,-0.068718314
15.6,-2.197703228
15.65,-1.52065298
15.7,1.365112042
15.75,2.736386012
15.8,1.6884643
15.85,0.340214279
15.9,-0.318662652
15.95,-1.429107669
16,-3.266501826
16.05,-3.875139725
16.1,-2.33070543
16.15,-0.841536992
16.2,-0.2467003
16.25,0.739238226
16.3,2.201739192
16.35,1.949898617
16.4,-0.555442101
16.45,-1.726003308
16.5,0.91474453
16.55,3.663533416
16.6,2.643947393
16.65,0.569627651
16.7,1.76397207
16.75,4.442389874
16.8,3.509654077
16.85,-0.498671143
16.9,-2.157234362
16.95,-0.172329555
17,1.413184754
17.05,1.001041093
17.1,0.323389226
17.15,-0.155094976
