position,age
0,0
0.0125,0.001
0.025,0.002
0.0375,0.003
0.05,0.004
0.0625,0.005
0.075,0.006
0.0875,0.007
0.1,0.008
0.1125,0.009
0.125,0.01
0.1375,0.011
0.15,0.012
0.1625,0.013
0.175,0.014
0.1875,0.015
0.2,0.016
0.2125,0.017
0.225,0.018
0.2375,0.019
0.25,0.02
0.2625,0.021
0.275,0.022
0.2875,0.023
0.3,0.024
0.3125,0.025
0.325,0.026
0.3375,0.027
0.35,0.028
0.3625,0.029
0.375,0.03
0.3875,0.031
0.4,0.032
0.4125,0.033
0.425,0.034
0.4375,0.035
0.45,0.036
0.4625,0.037
0.475,0.038
0.4875,0.039
0.5,0.04
0.5125,0.041
0.525,0.042
0.5375,0.043
0.55,0.044
0.5625,0.045
0.575,0.046
0.5875,0.047
0.6,0.048
0.6125,0.049
0.625,0.05
0.6375,0.051
0.65,0.052
0.6625,0.053
0.675,0.054
0.6875,0.055
0.7,0.056
0.7125,0.057
0.725,0.058
0.7375,0.059
0.75,0.06
0.7625,0.061
0.775,0.062
0.7875,0.063
0.8,0.064
0.8125,0.065
0.825,0.066
0.8375,0.067
0.85,0.068
0.8625,0.069
0.875,0.07
0.8875,0.071
0.9,0.072
0.9125,0.073
0.925,0.074
0.9375,0.075
0.95,0.076
0.9625,0.077
0.975,0.078
0.9875,0.079
1,0.08
1.0125,0.081
1.025,0.082
1.0375,0.083
1.05,0.084
1.0625,0.085
1.075,0.086
1.0875,0.087
1.1,0.088
1.1125,0.089
1.125,0.09
1.1375,0.091
1.15,0.092
1.1625,0.093
1.175,0.094
1.1875,0.095
1.2,0.096
1.2125,0.097
1.225,0.098
1.2375,0.099
1.25,0.1
1.2625,0.101
1.275,0.102
1.2875,0.103
1.3,0.104
1.3125,0.105
1.325,0.106
1.3375,0.107
1.35,0.108
1.3625,0.109
1.375,0.11
1.3875,0.111
1.4,0.112
1.4125,0.113
1.425,0.114
1.4375,0.115
1.45,0.116
1.4625,0.117
1.475,0.118
1.4875,0.119
1.5,0.12
1.5125,0.121
1.525,0.122
1.5375,0.123
1.55,0.124
1.5625,0.125
1.575,0.126
1.5875,0.127
1.6,0.128
1.6125,0.129
1.625,0.13
1.6375,0.131
1.65,0.132
1.6625,0.133
1.675,0.134
1.6875,0.135
1.7,0.136
1.7125,0.137
1.725,0.138
1.7375,0.139
1.75,0.14
1.7625,0.141
1.775,0.142
1.7875,0.143
1.8,0.144
1.8125,0.145
1.825,0.146
1.8375,0.147
1.85,0.148
1.8625,0.149
1.875,0.15
1.8875,0.151
1.9,0.152
1.9125,0.153
1.925,0.154
1.9375,0.155
1.95,0.156
1.9625,0.157
1.975,0.158
1.9875,0.159
2,0.16
2.0125,0.161
2.025,0.162
2.0375,0.163
2.05,0.164
2.0625,0.165
2.075,0.166
2.0875,0.167
2.1,0.168
2.1125,0.169
2.125,0.17
2.1375,0.171
2.15,0.172
2.1625,0.173
2.175,0.174
2.1875,0.175
2.2,0.176
2.2125,0.177
2.225,0.178
2.2375,0.179
2.25,0.18
2.2625,0.181
2.275,0.182
2.2875,0.183
2.3,0.184
2.3125,0.185
2.325,0.186
2.3375,0.187
2.35,0.188
2.3625,0.189
2.375,0.19
2.3875,0.191
2.4,0.192
2.4125,0.193
2.425,0.194
2.4375,0.195
2.45,0.196
2.4625,0.197
2.475,0.198
2.4875,0.199
2.5,0.2
2.5125,0.201
2.525,0.202
2.5375,0.203
2.55,0.204
2.5625,0.205
2.575,0.206
2.5875,0.207
2.6,0.208
2.6125,0.209
2.625,0.21
2.6375,0.211
2.65,0.212
2.6625,0.213
2.675,0.214
2.6875,0.215
2.7,0.216
2.7125,0.217
2.725,0.218
2.7375,0.219
2.75,0.22
2.7625,0.221
2.775,0.222
2.7875,0.223
2.8,0.224
2.8125,0.225
2.825,0.226
2.8375,0.227
2.85,0.228
2.8625,0.229
2.875,0.23
2.8875,0.231
2.9,0.232
2.9125,0.233
2.925,0.234
2.9375,0.235
2.95,0.236
2.9625,0.237
2.975,0.238
2.9875,0.239
3,0.24
3.0125,0.241
3.025,0.242
3.0375,0.243
3.05,0.244
3.0625,0.245
3.075,0.246
3.0875,0.247
3.1,0.248
3.1125,0.249
3.125,0.25
3.1375,0.251
3.15,0.252
3.1625,0.253
3.175,0.254
3.1875,0.255
3.2,0.256
3.2125,0.257
3.225,0.258
3.2375,0.259
3.25,0.26
3.2625,0.261
3.275,0.262
3.2875,0.263
3.3,0.264
3.3125,0.265
3.325,0.266
3.3375,0.267
3.35,0.268
3.3625,0.269
3.375,0.27
3.3875,0.271
3.4,0.272
3.4125,0.273
3.425,0.274
3.4375,0.275
3.45,0.276
3.4625,0.277
3.475,0.278
3.4875,0.279
3.5,0.28
3.5125,0.281
3.525,0.282
3.5375,0.283
3.55,0.284
3.5625,0.285
3.575,0.286
3.5875,0.287
3.6,0.288
3.6125,0.289
3.625,0.29
3.6375,0.291
3.65,0.292
3.6625,0.293
3.675,0.294
3.6875,0.295
3.7,0.296
3.7125,0.297
3.725,0.298
3.7375,0.299
3.75,0.3
3.7625,0.301
3.775,0.302
3.7875,0.303
3.8,0.304
3.8125,0.305
3.825,0.306
3.8375,0.307
3.85,0.308
3.8625,0.309
3.875,0.31
3.8875,0.311
3.9,0.312
3.9125,0.313
3.925,0.314
3.9375,0.315
3.95,0.316
3.9625,0.317
3.975,0.318
3.9875,0.319
4,0.32
4.0125,0.321
4.025,0.322
4.0375,0.323
4.05,0.324
4.0625,0.325
4.075,0.326
4.0875,0.327
4.1,0.328
4.1125,0.329
4.125,0.33
4.1375,0.331
4.15,0.332
4.1625,0.333
4.175,0.334
4.1875,0.335
4.2,0.336
4.2125,0.337
4.225,0.338
4.2375,0.339
4.25,0.34
4.2625,0.341
4.275,0.342
4.2875,0.343
4.3,0.344
4.3125,0.345
4.325,0.346
4.3375,0.347
4.35,0.348
4.3625,0.349
4.375,0.35
4.3875,0.351
4.4,0.352
4.4125,0.353
4.425,0.354
4.4375,0.355
4.45,0.356
4.4625,0.357
4.475,0.358
4.4875,0.359
4.5,0.36
4.5125,0.361
4.525,0.362
4.5375,0.363
4.55,0.364
4.5625,0.365
4.575,0.366
4.5875,0.367
4.6,0.368
4.6125,0.369
4.625,0.37
4.6375,0.371
4.65,0.372
4.6625,0.373
4.675,0.374
4.6875,0.375
4.7,0.376
4.7125,0.377
4.725,0.378
4.7375,0.379
4.75,0.38
4.7625,0.381
4.775,0.382
4.7875,0.383
4.8,0.384
4.8125,0.385
4.825,0.386
4.8375,0.387
4.85,0.388
4.8625,0.389
4.875,0.39
4.8875,0.391
4.9,0.392
4.9125,0.393
4.925,0.394
4.9375,0.395
4.95,0.396
4.9625,0.397
4.975,0.398
4.9875,0.399
5,0.4
5.0125,0.401
5.025,0.402
5.0375,0.403
5.05,0.404
5.0625,0.405
5.075,0.406
5.0875,0.407
5.1,0.408
5.1125,0.409
5.125,0.41
5.1375,0.411
5.15,0.412
5.1625,0.413
5.175,0.414
5.1875,0.415
5.2,0.416
5.2125,0.417
5.225,0.418
5.2375,0.419
5.25,0.42
5.2625,0.421
5.275,0.422
5.2875,0.423
5.3,0.424
5.3125,0.425
5.325,0.426
5.3375,0.427
5.35,0.428
5.3625,0.429
5.375,0.43
5.3875,0.431
5.4,0.432
5.4125,0.433
5.425,0.434
5.4375,0.435
5.45,0.436
5.4625,0.437
5.475,0.438
5.4875,0.439
5.5,0.44
5.5125,0.441
5.525,0.442
5.5375,0.443
5.55,0.444
5.5625,0.445
5.575,0.446
5.5875,0.447
5.6,0.448
5.6125,0.449
5.625,0.45
5.6375,0.451
5.65,0.452
5.6625,0.453
5.675,0.454
5.6875,0.455
5.7,0.456
5.7125,0.457
5.725,0.458
5.7375,0.459
5.75,0.46
5.7625,0.461
5.775,0.462
5.7875,0.463
5.8,0.464
5.8125,0.465
5.825,0.466
5.8375,0.467
5.85,0.468
5.8625,0.469
5.875,0.47
5.8875,0.471
5.9,0.472
5.9125,0.473
5.925,0.474
5.9375,0.475
5.95,0.476
5.9625,0.477
5.975,0.478
5.9875,0.479
6,0.48
6.0125,0.481
6.025,0.482
6.0375,0.483
6.05,0.484
6.0625,0.485
6.075,0.486
6.0875,0.487
6.1,0.488
6.1125,0.489
6.125,0.49
6.1375,0.491
6.15,0.492
6.1625,0.493
6.175,0.494
6.1875,0.495
6.2,0.496
6.2125,0.497
6.225,0.498
6.2375,0.499
6.25,0.5
6.2625,0.501
6.275,0.502
6.2875,0.503
6.3,0.504
6.3125,0.505
6.325,0.506
6.3375,0.507
6.35,0.508
6.3625,0.509
6.375,0.51
6.3875,0.511
6.4,0.512
6.4125,0.513
6.425,0.514
6.4375,0.515
6.45,0.516
6.4625,0.517
6.475,0.518
6.4875,0.519
6.5,0.52
6.5125,0.521
6.525,0.522
6.5375,0.523
6.55,0.524
6.5625,0.525
6.575,0.526
6.5875,0.527
6.6,0.528
6.6125,0.529
6.625,0.53
6.6375,0.531
6.65,0.532
6.6625,0.533
6.675,0.534
6.6875,0.535
6.7,0.536
6.7125,0.537
6.725,0.538
6.7375,0.539
6.75,0.54
6.7625,0.541
6.775,0.542
6.7875,0.543
6.8,0.544
6.8125,0.545
6.825,0.546
6.8375,0.547
6.85,0.548
6.8625,0.549
6.875,0.55
6.8875,0.551
6.9,0.552
6.9125,0.553
6.925,0.554
6.9375,0.555
6.95,0.556
6.9625,0.557
6.975,0.558
6.9875,0.559
7,0.56
7.0125,0.561
7.025,0.562
7.0375,0.563
7.05,0.564
7.0625,0.565
7.075,0.566
7.0875,0.567
7.1,0.568
7.1125,0.569
7.125,0.57
7.1375,0.571
7.15,0.572
7.1625,0.573
7.175,0.574
7.1875,0.575
7.2,0.576
7.2125,0.577
7.225,0.578
7.2375,0.579
7.25,0.58
7.2625,0.581
7.275,0.582
7.2875,0.583
7.3,0.584
7.3125,0.585
7.325,0.586
7.3375,0.587
7.35,0.588
7.3625,0.589
7.375,0.59
7.3875,0.591
7.4,0.592
7.4125,0.593
7.425,0.594
7.4375,0.595
7.45,0.596
7.4625,0.597
7.475,0.598
7.4875,0.599
7.5,0.6
7.5125,0.601
7.525,0.602
7.5375,0.603
7.55,0.604
7.5625,0.605
7.575,0.606
7.5875,0.607
7.6,0.608
7.6125,0.609
7.625,0.61
7.6375,0.611
7.65,0.612
7.6625,0.613
7.675,0.614
7.6875,0.615
7.7,0.616
7.7125,0.617
7.725,0.618
7.7375,0.619
7.75,0.62
7.7625,0.621
7.775,0.622
7.7875,0.623
7.8,0.624
7.8125,0.625
7.825,0.626
7.8375,0.627
7.85,0.628
7.8625,0.629
7.875,0.63
7.8875,0.631
7.9,0.632
7.9125,0.633
7.925,0.634
7.9375,0.635
7.95,0.636
7.9625,0.637
7.975,0.638
7.9875,0.639
8,0.64
8.0125,0.641
8.025,0.642
8.0375,0.643
8.05,0.644
8.0625,0.645
8.075,0.646
8.0875,0.647
8.1,0.648
8.1125,0.649
8.125,0.65
8.1375,0.651
8.15,0.652
8.1625,0.653
8.175,0.654
8.1875,0.655
8.2,0.656
8.2125,0.657
8.225,0.658
8.2375,0.659
8.25,0.66
8.2625,0.661
8.275,0.662
8.2875,0.663
8.3,0.664
8.3125,0.665
8.325,0.666
8.3375,0.667
8.35,0.668
8.3625,0.669
8.375,0.67
8.3875,0.671
8.4,0.672
8.4125,0.673
8.425,0.674
8.4375,0.675
8.45,0.676
8.4625,0.677
8.475,0.678
8.4875,0.679
8.5,0.68
8.5125,0.681
8.525,0.682
8.5375,0.683
8.55,0.684
8.5625,0.685
8.575,0.686
8.5875,0.687
8.6,0.688
8.6125,0.689
8.625,0.69
8.6375,0.691
8.65,0.692
8.6625,0.693
8.675,0.694
8.6875,0.695
8.7,0.696
8.7125,0.697
8.725,0.698
8.7375,0.699
8.75,0.7
8.7625,0.701
8.775,0.702
8.7875,0.703
8.8,0.704
8.8125,0.705
8.825,0.706
8.8375,0.707
8.85,0.708
8.8625,0.709
8.875,0.71
8.8875,0.711
8.9,0.712
8.9125,0.713
8.925,0.714
8.9375,0.715
8.95,0.716
8.9625,0.717
8.975,0.718
8.9875,0.719
9,0.72
9.0125,0.721
9.025,0.722
9.0375,0.723
9.05,0.724
9.0625,0.725
9.075,0.726
9.0875,0.727
9.1,0.728
9.1125,0.729
9.125,0.73
9.1375,0.731
9.15,0.732
9.1625,0.733
9.175,0.734
9.1875,0.735
9.2,0.736
9.2125,0.737
9.225,0.738
9.2375,0.739
9.25,0.74
9.2625,0.741
9.275,0.742
9.2875,0.743
9.3,0.744
9.3125,0.745
9.325,0.746
9.3375,0.747
9.35,0.748
9.3625,0.749
9.375,0.75
9.3875,0.751
9.4,0.752
9.4125,0.753
9.425,0.754
9.4375,0.755
9.45,0.756
9.4625,0.757
9.475,0.758
9.4875,0.759
9.5,0.76
9.5125,0.761
9.525,0.762
9.5375,0.763
9.55,0.764
9.5625,0.765
9.575,0.766
9.5875,0.767
9.6,0.768
9.6125,0.769
9.625,0.77
9.6375,0.771
9.65,0.772
9.6625,0.773
9.675,0.774
