position,age,value
396.23,8319.3,2.57
396.28,8321.4,2.57
396.33,8323.6,2.47
396.38,8325.7,2.52
396.43,8327.8,2.59
396.48,8330,2.58
396.53,8332.1,2.49
396.58,8334.2,2.6
396.68,8338.5,2.54
396.73,8340.6,2.54
396.78,8342.8,2.49
396.83,8344.9,2.51
396.88,8347,2.4
396.93,8349.2,2.44
396.98,8351.3,2.44
397.03,8353.4,2.37
397.08,8355.6,2.49
397.13,8357.7,2.56
397.18,8359.8,2.54
397.23,8362,2.44
397.28,8364.1,2.36
397.33,8366.2,2.28
397.38,8368.4,2.43
397.43,8370.5,2.32
397.48,8372.6,2.41
397.53,8374.8,2.49
397.58,8376.9,2.44
397.63,8379,2.54
397.68,8381.2,2.55
397.73,8383.3,2.25
397.78,8385.4,2.3
397.83,8387.5,2.16
397.89,8390.1,2.28
397.94,8392.2,2.38
397.99,8394.4,2.6
398.04,8396.5,2.49
398.09,8398.6,2.54
398.14,8400.8,2.31
398.19,8402.9,2.46
398.24,8405,2.47
398.29,8407.2,2.37
398.34,8409.3,2.38
398.39,8411.4,2.45
398.44,8413.6,2.24
398.49,8415.7,2.44
398.54,8417.8,2.48
398.59,8420,2.4
398.64,8422.1,2.62
398.69,8424.2,2.54
398.74,8426.4,2.38
398.79,8428.5,2.69
398.84,8430.6,2.67
398.89,8432.8,2.55
398.94,8434.9,2.41
398.99,8437,2.53
399.04,8439.2,2.42
399.09,8441.3,2.46
399.14,8443.4,2.44
399.19,8445.6,2.42
399.24,8447.7,2.38
399.29,8449.8,2.43
399.34,8452,2.35
399.39,8454.1,2.46
399.44,8456.2,2.39
399.49,8458.4,2.38
399.54,8460.5,2.34
399.59,8462.6,2.46
399.64,8464.8,2.29
399.69,8466.9,2.33
399.74,8469,2.33
399.84,8473.3,2.28
399.89,8475.4,2.38
399.94,8477.6,2.44
399.99,8479.7,2.57
400.04,8481.8,2.4
400.09,8484,2.47
400.14,8486.1,2.46
400.19,8488.2,2.31
400.29,8492.5,2.36
400.34,8494.6,2.36
400.39,8496.8,2.28
400.44,8498.9,2.3
400.54,8503.1,2.42
400.59,8505.3,2.37
400.64,8507.4,2.93
