id	position	age	age_sd	thickness
A	397.75	8.384	0.008384	1
B	402.88	8.602	0.008602	1
C	406.07	8.727	0.008727	1
D	409.37	8.868	0.008868	1
E	412.66	9.034	0.009034	1
F	417.04	9.223	0.009223	1
G	428.67	9.717	0.009717	1
H	431.28	9.819	0.009819	1
I	436.15	9.984	0.009984	1
J	441.58	10.312	0.010312	1
K	444.73	10.461	0.010461	1
L	449.19	10.619	0.010619	1
M	450.23	10.656	0.010656	1
N	453	10.779	0.010779	1
O	458.11	11.022	0.011022	1
P	461.8	11.146	0.011146	1
Q	465.42	11.293	0.011293	1
R	471.55	11.637	0.011637	1
S	475.19	11.800	0.0118	1
T	477.4	11.917	0.011917	1
U	479.17	12.000	0.012	1
V	481.68	12.113	0.012113	1
W	484.12	12.238	0.012238	1
X	486.31	12.360	0.01236	1
Y	487.6	12.438	0.012438	1
Z	496.23	12.783	0.012783	1
