position,value
0.02,-28.3965416
0.065,-28.9548542
0.115,-30.31603515
0.165,-31.262135
0.215,-29.9813923
0.265,-29.5476884
0.315,-18.91098175
0.365,-22.6439755
0.415,-29.0540582
0.465,-28.0535937
0.515,-28.9179544
0.565,-29.2189678
0.615,-28.7574738
0.665,-21.5195956
0.715,-19.1840672
0.765,-21.0578641
0.815,-24.6913277
0.865,-28.694228
1.065,-28.8457556
1.115,-29.7961532
1.165,-29.3673404
1.215,-29.6961656
1.265,-29.2601372
1.315,-29.4755744
1.365,-29.5866341
1.415,-28.0994327
1.465,-27.1722653
1.515,-29.0867519
1.565,-29.4310691
1.615,-29.7504959
1.665,-29.3325446
1.715,-28.9602257
1.765,-28.7227298
1.815,-30.7948556
1.865,-29.5882254
1.915,-30.496126
1.965,-29.5779434
2.015,-29.365106
2.065,-31.0935102
2.115,-30.8128116
2.165,-30.5598744
2.215,-29.0216872
2.265,-29.6601994
2.32,-30.1506508
